Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,POS,HEALTH
Garrett Crochet,197,11.2,2.4,0.9,0.3,77.50%,2.91,2.82,5.8,SP,Healthy
Sonny Gray,178,9.4,2.4,1.1,0.304,73.30%,3.72,3.5,3.7,SP,Healthy
Ranger Suarez,169,7.9,2.6,0.9,0.302,73.50%,3.62,3.62,3.4,SP,Healthy
Brayan Bello,153,7.5,3.2,1,0.301,70.70%,4.22,4.14,1.9,SP,Healthy
Aroldis Chapman,62,12.7,4,0.8,0.296,77.80%,2.97,2.87,1.7,RP,Healthy
Garrett Whitlock,70,10.1,2.5,0.9,0.299,74.60%,3.33,3.18,1.3,RP,Healthy
Johan Oviedo,115,8.7,3.7,1.1,0.294,71.10%,4.26,4.24,1.1,SP/RP,Healthy
Patrick Sandoval,78,8.3,3.7,0.9,0.304,72.50%,4.02,3.93,0.9,SP/RP,Healthy
Connelly Early,48,9.2,3.3,1,0.296,72.30%,3.81,3.77,0.5,SP/RP,Healthy
Kutter Crawford,86,8.4,2.6,1.4,0.288,70.90%,4.31,4.24,0.5,SP/RP,Healthy
Payton Tolle,48,9.3,2.9,1.3,0.292,72.60%,4.03,3.95,0.4,SP/RP,Healthy
Justin Slaten,61,8.5,3.2,1.1,0.295,71.70%,3.99,3.93,0.4,RP,Healthy
Jovani Moran,56,9.7,3.9,0.9,0.298,74.10%,3.74,3.65,0.3,RP,Healthy
Greg Weissert,65,8.1,3.2,1.1,0.297,71.60%,4.21,4.15,0.3,RP,Healthy
Zack Kelly,58,8.7,4.2,1.1,0.294,71.60%,4.36,4.38,0,RP,Healthy
Ryan Watson,42,7.5,3.1,1.1,0.3,71.60%,4.25,4.22,0,RP,Healthy
Tyler Uberstine,12,8.2,3,1.2,0.296,71.30%,4.27,4.18,0,RP,Healthy
Robert Samaniego,34,7.5,3.7,1.1,0.298,72.00%,4.32,4.36,0,RP,Healthy
William Bennett,8,6.7,3,1.1,0.298,70.40%,4.44,4.41,0,RP,Healthy
Seth Martinez,16,7.5,3.6,1.2,0.295,70.50%,4.56,4.6,0,RP,Healthy
Kyle Keller,30,8.3,4.3,1.4,0.301,70.90%,4.97,4.84,0,RP,Healthy